Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center X ,Center Y ,Parent Object ID (Well),Parent Trace ID,R01
115,1.0640885,6491168,10571.935,1309200,2132.2476,40238488,65535,614,7,1766,156.5,6,-1,1
116,1.115203,10572990,9075.5283,2457840,2109.7339,76348272,65535,1165,7,1271.5,168.5,6,-1,1
117,1.0321914,3815888,4431.9258,1682784,1954.453,56425636,65535,861,7,1591,164.5,6,-1,1
118,1.1454134,7585088.5,9469.5234,1634176,2040.1698,52493536,65535,801,7,1647.5,164.5,6,-1,1
119,1.0950713,3888797,12667.091,650431.94,2118.6709,20119244,65535,307,7,678.5,158.5,6,-1,1
120,1.0402808,8343661,14663.728,1385952,2435.7681,37289416,65535,569,7,1069,162,6,-1,1
121,1.116196,4781952,9583.0703,1026991.9,2058.1001,32701964,65535,499,7,1530,163.5,6,-1,1
122,1.0322312,11001424,7228.2681,3062912,2012.4258,99744272,65535,1522,7,1896,173,6,-1,1
123,1.0640604,13564160,9127.9678,3089920,2079.354,97385008,65535,1486,7,548.5,171.5,6,-1,1
124,1.0784661,8456864,8448.416,2124848,2122.7253,65600536,65535,1001,7,1119.5,168,6,-1,1
125,1.0349004,11003344,7593.75,2922464,2016.8834,94960216,65535,1449,7,386.5,177,6,-1,1
126,1.0971384,1136672,2732.3845,850048,2043.3846,27262560,65535,416,7,1361,166,6,-1,1
127,1.035127,10451648,5851.9863,3497072,1958.047,117045510,65535,1786,7,126,177,6,-1,1
128,1.0389231,12899008,7118.6577,3682032,2032.0265,118749420,65535,1812,7,1445.5,180.5,6,-1,1
129,1.0933865,5532814,7695.1514,1866080.1,2595.3826,47119664,65535,719,7,1027.5,175,6,-1,1
130,1.055085,7250399.5,8381.9648,1727584,1997.2069,56687776,65535,865,7,345,176,6,-1,1
131,1.0421285,6808028,12749.116,1128928,2114.0974,34995688,65535,534,7,1186.5,176,6,-1,1
132,1.0441538,7599952,6755.5127,2226912,1979.4773,73726872,65535,1125,7,742,184,6,-1,1
133,1.0293669,10616816,6517.3823,3241552,1989.903,106756510,65535,1629,7,47.5,187.5,6,-1,1
134,1.1560069,7164256,8844.7607,1651392,2038.7556,53083352,65535,810,7,624,182,6,-1,1
135,1.0941655,6137791.5,8755.7656,1479296,2110.2654,45940036,65535,701,7,670,180,6,-1,1
136,1.035436,12190672,8413.1621,3243296,2238.2996,94960216,65535,1449,7,815,189.5,6,-1,1
137,1.0235015,6052704,7481.7109,1666927.9,2060.4795,53017816,65535,809,7,1401.5,185.5,6,-1,1
138,1.0977635,11046624,8657.2285,2602368,2039.4734,83622656,65535,1276,7,221,193.5,6,-1,1
139,1.033803,5946240,5904.9058,2348720,2332.3933,65993744,65535,1007,7,1082,192.5,6,-1,1
140,1.039046,11726272,7649.2314,3172368,2069.3855,100465150,65535,1533,7,1506.5,194.5,6,-1,1
141,1.1252863,4733408,7902.1836,1173904,1959.7729,39255464,65535,599,7,86.5,192,6,-1,1
142,1.0411141,4612560,7561.5737,1259296,2064.4197,39976352,65535,610,7,1300,190,6,-1,1
143,1.0631832,6097824,10623.387,1203104,2096,37617088,65535,574,7,704,191,6,-1,1
144,1.0999893,1169520,2640,894960,2020.2257,29032004,65535,443,7,1328,191.5,6,-1,1
145,1.2198073,1882368.1,4439.5474,1032816,2435.8867,27786840,65535,424,7,1351.5,191.5,6,-1,1
146,1.0502705,5122896,8276.084,1248288,2016.6204,40566164,65535,619,7,179,198,6,-1,1
147,1.0780715,10109664,9465.9775,2250544,2107.251,69991376,65535,1068,7,1657.5,205,6,-1,1
148,1.0774295,7121295.5,9212.543,1561120,2019.5602,50658556,65535,773,7,1702,202.5,6,-1,1
149,1.0883207,10899120,9044.9131,3219872,2672.093,78969672,65535,1205,7,1005.5,208.5,6,-1,1
150,1.0458818,2904912,4023.4238,1413872,1958.2715,47316272,65535,722,7,363,205.5,6,-1,1
151,1.2302129,3889904,4060.4426,2277296,2377.1357,62782528,65535,958,7,1382,211.5,6,-1,0
152,1.0533142,10173904,8492.4072,2468944,2060.8882,78510928,65535,1198,7,538,213.5,6,-1,1
153,1.0763749,4512304,9580.2637,969312,2057.9873,30866984,65535,471,7,2009,207.5,6,-1,1
154,1.3966611,1106272,10740.505,199136,1933.3593,6750105,65535,103,7,1590,203.5,6,-1,0
155,1.0354156,8129776,8993.1152,1856768.1,2053.947,59243640,65535,904,7,497,217.5,6,-1,1
156,1.0624811,5100960,11437.13,986816.06,2212.592,29228610,65535,446,7,683,212,6,-1,1
157,1.1698396,1446656,3310.4255,850912,1947.167,28638796,65535,437,7,252,213,6,-1,1
158,1.0768198,8168063.5,8859.0713,1867504,2025.4924,60423272,65535,922,7,280.5,217.5,6,-1,1
159,1.0730914,5068784,9747.6611,1354432,2604.677,34078200,65535,520,7,1049,215.5,6,-1,1
160,1.0455723,12020000,7280.436,3240176,1962.5536,108198290,65535,1651,7,1973.5,222,6,-1,1
161,1.0445435,4704176,8000.2993,1205456,2050.0952,38534580,65535,588,7,766,216,6,-1,1
162,1.0646396,6532272,8698.0986,1541424,2052.4954,49216784,65535,751,7,1895,218.5,6,-1,1
163,1.0383834,4396992,5136.6729,1683616,1966.8411,56097960,65535,856,7,729,220,6,-1,1
164,1.1112213,8371920,11118.088,1548320,2056.2019,49347856,65535,753,7,1474.5,221,6,-1,1
165,1.0696516,6067712,9555.4521,1364208,2148.3591,41614724,65535,635,7,1622.5,218.5,6,-1,1
166,1.0707097,1588352,5123.7163,620368,2001.1871,20315850,65535,310,7,1170,217.5,6,-1,1
167,1.1288092,3998080,5769.2354,1814559.9,2618.4126,45415756,65535,693,7,978.5,225,6,-1,1
168,1.0531294,8952048,8952.0479,2107648,2107.6479,65535000,65535,1000,7,1534.5,228.5,6,-1,1
169,1.0241027,7007312,6273.332,2221984,1989.2426,73202592,65535,1117,7,22.5,230,6,-1,1
170,1.0449253,9212448,10351.065,1833312,2059.9011,58326152,65535,890,7,623,228.5,6,-1,1
171,1.1422642,877456,2915.1362,614576,2041.7808,19726036,65535,301,7,1350.5,221.5,6,-1,1
172,1.0378892,11856128,7518.1533,3226448,2045.9404,103348700,65535,1577,7,459.5,238,6,-1,1
173,1.0647974,7143664,13107.641,1249248,2292.1982,35716576,65535,545,7,1124.5,228.5,6,-1,1
174,1.0790659,5143136,8403.8174,1255808,2051.9739,40107420,65535,612,7,383,231,6,-1,1
175,1.2283063,1356192,2198.0422,1195376,1937.4003,40435096,65535,617,7,1324,233,6,-1,0
176,1.0787685,10976800,7312.9912,3098480,2064.2771,98368032,65535,1501,7,579,239.5,6,-1,1
177,1.1112074,9139552,9902.0068,2243744,2430.9253,60488804,65535,923,7,1092.5,235.5,6,-1,1
178,1.0821355,5340688,9675.1592,1149504,2082.4348,36175320,65535,552,7,1499,233,6,-1,1
179,1.09819,7009152,10383.929,1425728,2112.1897,44236124,65535,675,7,1434,238,6,-1,1
180,1.0288421,11471056,6692.5649,3415344,1992.6161,112326990,65535,1714,7,63,248,6,-1,1
181,1.027611,4263936,4184.4316,1967472,1930.787,66780164,65535,1019,7,111.5,242.5,6,-1,1
182,1.0640276,7835520,6298.6494,3344912,2688.8359,81525536,65535,1244,7,945.5,247,6,-1,1
183,1.0514842,9913504,8358.7725,2416912,2037.8684,77724512,65535,1186,7,249,244,6,-1,1
184,1.0147469,5743104,6388.3247,1747296,1943.5996,58915964,65535,899,7,1649,244,6,-1,1
185,1.0503964,8488192,9847.0908,1846671.9,2142.3108,56491168,65535,862,7,1176,245,6,-1,1
186,1.1990509,1915215.9,3208.0669,1262704,2115.082,39124396,65535,597,7,1302.5,246,6,-1,1
187,1.0436291,12797711,8531.8076,3033824,2022.5493,98302496,65535,1500,7,1796.5,250.5,6,-1,1
188,1.1436848,5909168,10032.543,1651648,2804.1562,38600116,65535,589,7,1021.5,249.5,6,-1,1
189,1.3408041,574560,2059.3547,535040,1917.7061,18284264,65535,279,7,1348,243,6,-1,0
190,1.0731123,7963855.5,9595.0068,1723503.9,2076.5107,54394048,65535,830,7,762,253,6,-1,1
191,1.0876464,3720176,8942.7305,916000,2201.9231,27262560,65535,416,7,540.5,248,6,-1,1
192,1.1432402,14279305,9469.0352,3311840,2196.1804,98826784,65535,1508,7,1391.5,259,6,-1,0
193,1.0368805,11308576,8593.1426,2622112,1992.4863,86244064,65535,1316,7,348.5,256,6,-1,1
194,1.0245012,8500624,7630.7217,2229984,2001.781,72992600,65522.98,1114,7,1568.5,261,6,-1,1
195,1.0677797,8985760,9528.9082,2008544,2129.9512,61799504,65535,943,7,1608.5,258,6,-1,1
196,1.0936683,9533200,7077.3569,2834704,2104.4573,88275648,65535,1347,7,662.5,261.5,6,-1,1
197,1.0308407,10210368,9027.7344,2967008.2,2623.3494,74120088,65535,1131,7,988.5,262,6,-1,1
198,1.0246608,14207056,7315.6826,4140048.2,2131.8477,127268970,65535,1942,7,1470.5,268.5,6,-1,1
199,1.0372525,13261615,8436.1416,3727952,2371.4707,103021020,65535,1572,7,841,271.5,6,-1,1
200,1.0267651,10174864,8901.8936,2309168,2020.2694,74906504,65535,1143,7,1968,267,6,-1,1
201,1.0692318,7818624,8784.9707,1773520,1992.7191,58326152,65535,890,7,182.5,264.5,6,-1,1
202,1.0423883,14049200,7946.3799,3589088,2030.0271,115865880,65535,1768,7,509.5,272,6,-1,1
203,1.0626268,3683008,4218.7949,1713712,1963.0149,57212056,65535,873,7,620.5,264,6,-1,1
204,1.0621765,4520336,8811.5713,1079584,2104.4521,33619456,65535,513,7,1511,259.5,6,-1,1
205,1.0862485,1318192,7203.2349,369392,2018.5355,11992905,65535,183,7,1542,257,6,-1,1
206,1.0339408,8889920,8331.6963,2093360,1961.9119,69925848,65535,1067,7,1840.5,267,6,-1,1
207,1.0436658,4629520,4946.0684,1866048,1993.641,61340760,65535,936,7,795.5,268,6,-1,1
208,1.1002744,10261168,10059.969,2629792,2578.2275,66845700,65535,1020,7,1067.5,269.5,6,-1,1
209,1.147432,3701280.2,2912.1008,2633248,2071.7922,83294984,65535,1271,7,1320,277.5,6,-1,0
210,1.0370904,4584368,4918.8496,1806560,1938.3691,61078620,65535,932,7,1429.5,274,6,-1,1
211,1.0256932,15678224,7906.3159,4103728,2069.4543,129955900,65535,1983,7,1717.5,283.5,6,-1,1
212,1.035749,10349024,9315.0527,3045184,2740.9397,72809384,65535,1111,7,884,278.5,6,-1,1
213,1.1097793,3090304,10370.147,631392,2118.7651,19529430,65535,298,7,469.5,271,6,-1,1
214,1.0907472,6346640,7484.2451,1710768,2017.415,55573680,65535,848,7,115,279.5,6,-1,1
