Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
912,7,Control,10031.728,11887597.0,1185,47379.812,758077.0,16.0
916,7,Control,13009.489,9574984.0,736,45664.648,1689592.0,37.0
922,7,Control,11541.726,9579632.0,830,28811.102,1411744.0,49.0
926,7,Control,12410.46,9605696.0,774,31149.092,342640.0,11.0
927,7,Control,13549.709,5677328.0,419,17363.809,364639.97,21.0
929,7,Control,9711.8867,4127551.8,425,21970.21,394248.0,18.0
930,7,Control,7925.2407,11396496.0,1438,20661.564,475215.97,23.0
931,7,Control,9420.2822,16947088.0,1799,29330.857,821264.0,28.0
932,7,Control,9248.1855,6871402.0,743,53372.145,747210.0,14.0
936,7,Control,8486.6797,5244768.0,618,32692.363,359616.0,11.0
937,7,Control,5941.1113,3570608.0,601,18209.066,273136.0,15.0
948,7,Control,13578.733,5445072.0,401,32271.733500000002,568088.0,17.5
965,7,Control,8921.4902,8091791.5,907,19328.0,193280.0,10.0
966,7,Control,8680.3252,10459792.0,1205,6787.2002,101808.0,15.0
968,7,Control,8947.2363,4733088.0,529,8436.5713,118112.0,14.0
969,7,Control,7864.4336,11607904.0,1476,31600.0,316000.0,10.0
978,7,Control,12455.146,9752379.0,783,49536.785,693515.0,14.0
979,7,Control,8671.7559,6252336.0,721,26017.391,598400.0,23.0
984,7,Control,9212.7002,7370160.0,800,7437.3335,133872.0,18.0
985,7,Control,14197.286,11173264.0,787,37690.5975,1663504.0,43.0
986,7,Control,11957.925,9590256.0,802,16511.2595,515472.0,47.5
993,7,Control,9150.6465,7677392.5,839,27113.777,976096.0,36.0
994,7,Control,11727.984,11692800.0,997,35185.281,879632.0,25.0
1002,7,Control,10525.646,9167837.0,871,24423.5,781552.0,32.0
1005,7,Control,6346.8643,5140960.0,810,19655.703,530704.0,27.0
1007,7,Control,11580.501,8789600.0,759,44171.199,441712.0,10.0
1013,7,Control,10274.064,9226110.0,898,23227.637,766512.0,33.0
1014,7,Control,12293.841,9564608.0,778,21601.143,604832.0,28.0
1019,7,Control,10545.957,9227712.0,875,19542.193,605808.0,31.0
1024,7,Control,11572.705,8795256.0,760,56725.5,907608.0,16.0
1033,7,Control,9990.7402,5454944.0,546,29137.455,641024.0,22.0
1035,7,Control,11774.467,4792208.0,407,29904.0,807408.0,27.0
1038,7,Control,7540.2305,11378208.0,1509,28005.334,420080.0,15.0
1040,7,Control,10472.751,8482928.0,810,17686.4,176864.0,10.0
1053,7,Control,8547.958,6496448.0,760,10115.2,202304.0,20.0
1055,7,Control,8061.832,2499168.0,310,13217.392,304000.0,23.0
1058,7,Control,7369.937,7274128.0,987,19275.428,269856.0,14.0
1065,7,Control,10859.486,7351872.0,677,19880.0,198800.0,10.0
1070,7,Control,10609.696,8307392.0,783,22434.783,516000.0,23.0
1079,7,Control,11204.786,7529616.5,672,48072.0,480720.0,10.0
1080,7,Control,5642.9668,1704176.0,302,14163.2,141632.0,10.0
1081,7,Control,9807.3916,9542592.0,973,6077.80005,78640.0,13.0
1088,7,Control,8295.1152,15926621.0,1920,36891.64266666667,652751.0,18.0
1095,7,Control,8439.6055,14026624.0,1662,21104.0,253248.0,12.0
1097,7,Control,7186.0674,12568432.0,1749,19346.0955,702296.0,29.0
1100,7,Control,12536.686,7133374.0,569,21251.7775,990967.0,36.0
1101,7,Control,10768.356,7731680.0,718,39506.9335,813712.0,21.0
1102,7,Control,10659.051,10509824.0,986,30628.666,735088.0,24.0
1106,7,Control,7186.2983,14257616.0,1984,21085.092,231936.02,11.0
1119,7,Control,7988.46,6878064.0,861,18816.0545,631568.0,37.0
1121,7,Control,11752.15,6875008.0,585,19817.2305,257624.0,13.0
1123,7,Control,6769.7578,3635360.0,537,43296.0,476256.0,11.0
1124,7,Control,9163.1006,9007328.0,983,33205.816,365263.97,11.0
1125,7,Control,6982.5508,13183056.0,1888,30592.666,734224.0,24.0
1127,7,Control,10324.052,10355024.0,1003,38090.285,533264.0,14.0
