Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
3321,25,MutS,7650.1519,7818455.0,1022,27322.66183333333,757826.3133333334,41.666666666666664
2715,25,MutS,8798.7441,10426512.0,1185,7776.924800000001,335272.0,43.5
3892,25,MutS,4325.8486,6981919.5,1614,16628.869,382464.0,23.0
3245,25,MutS,9604.2539,3323071.8,346,10065.702,473088.0,47.0
2760,25,MutS,9186.8018,3619600.0,394,22111.135,818112.0,37.0
3373,25,MutS,16577.49,9896762.0,597,21841.309500000003,2775869.45,119.5
2883,25,MutS,9339.6953,6631183.5,710,16927.867,188616.0,11.0
4224,25,MutS,12529.002,6652900.0,531,34039.578,646752.0,19.0
2920,25,MutS,7747.9595,9894144.0,1277,15779.489849999998,864648.0,92.0
3311,25,MutS,10388.567,5931872.0,571,18513.066,555392.0,30.0
4637,25,MutS,7444.9453,6142080.0,825,8056.035400000001,996688.0,128.5
4429,25,MutS,11072.47,5281568.0,477,14093.556,2029472.0,144.0
4344,25,MutS,18876.881,6323755.0,335,33921.4205,2025757.5,57.5
4054,25,MutS,7978.7012,7260618.0,910,16539.190566666668,589192.6666666666,55.0
2971,25,MutS,9170.0645,1421360.0,155,19529.6,195296.0,10.0
4131,25,MutS,8984.75,7376480.0,821,26417.143,739680.0,28.0
4516,25,MutS,7305.8677,13362432.0,1829,23648.0,662144.0,28.0
3830,25,MutS,11522.561,8307766.0,721,23915.4695,1989331.0,88.0
4258,25,MutS,7799.4214,14023360.0,1798,27063.310500000003,995760.0,75.33333333333333
3174,25,MutS,9027.7715,9190271.0,1018,19118.686,1644207.0,86.0
3985,25,MutS,8590.9648,13230086.0,1540,16493.40725,397512.0,19.5
3493,25,MutS,10251.223,8754544.0,854,11317.041,826144.0,73.0
4047,25,MutS,5075.4912,4131449.8,814,43032.418,1032778.0,24.0
2912,25,MutS,9389.8965,7643375.5,814,19021.1387,269480.0,13.0
3969,25,MutS,4597.5391,4887184.0,1063,26925.091,433008.0,16.5
2944,25,MutS,9043.6836,13475089.0,1490,12749.03035,723616.0,71.75
2579,25,MutS,7455.1753,13307488.0,1785,24273.715,679664.0,28.0
4552,25,MutS,9465.6807,3379248.0,357,17200.0,378400.0,22.0
3913,25,MutS,9400.8818,4606432.0,490,32665.846,424656.0,13.0
3727,25,MutS,8432.8164,11224079.0,1331,30939.777,1818094.9849999999,50.0
2580,25,MutS,7139.4854,10487904.0,1469,21690.61966666667,569888.0,25.333333333333332
4225,25,MutS,6054.3999,4540800.0,750,34029.145,952816.06,28.0
3649,25,MutS,9512.6279,3881152.2,408,12222.857,171120.0,14.0
3345,25,MutS,8177.833,5282880.0,646,25155.199,251552.0,10.0
4094,25,MutS,5671.0483,9175756.0,1618,33825.875,1082428.0,32.0
