Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center Y ,Center X ,Parent Object ID (MO),Parent Trace ID,MO.R01
1091,1.4511126,421568,11393.729,113632.01,3071.1353,2424795,65535,37,25,326.5,991,2908,-1,1
1092,2.1022304,255328,9118.8574,83888,2996,1834980,65535,28,25,315,1697,2909,-1,1
1093,1.117381,290592,24216,38672,3222.6667,786420,65535,12,25,316.5,225.5,2910,-1,1
1094,1.0762455,1169632,25426.783,150272,3266.7827,3014610,65535,46,25,358.5,91.5,2911,-1,0
1095,1.1105668,1499709,36578.27,172544,4208.3901,2686935,65535,41,25,359.5,76.5,2911,-1,0
1096,1.0723655,451856,30123.732,57440,3829.3333,983025,65535,15,25,316,1135.5,2912,-1,1
1097,1.1803098,87104,7918.5454,32352,2941.0908,720885,65535,11,25,339,1135.5,2912,-1,1
1098,1.4330527,59248,5924.7998,29072,2907.2,655350,65535,10,25,325.5,733,2913,-1,1
1099,1.4080928,132160,11013.333,35200,2933.3333,786420,65535,12,25,329,16.5,2915,-1,1
1100,1.4277984,901840.06,8755.7285,308960,2999.6116,6750105,65535,103,25,333.5,29,2915,-1,1
1101,1.2973732,234384,7560.7744,92544,2985.2903,2031585,65535,31,25,338.5,26,2915,-1,1
1102,1.5696732,970256,17022.035,184656,3239.5789,3735495,65535,57,25,343.5,20,2915,-1,1
1103,1.0112639,1085552,31015.771,129296,3694.1714,2293725,65535,35,25,322.5,301.5,2916,-1,1
1104,2.0885403,139008,8176.9414,49888,2934.5881,1114095,65535,17,25,332.5,579.5,2919,-1,1
1105,2.1666837,1059392,6747.7197,458368.03,2919.5415,10288995,65535,157,25,333.5,621,2920,-1,1
1106,1.070151,669904,24811.26,86928,3219.5557,1769445,65535,27,25,333,608,2920,-1,1
1107,0.90483465,878379,46230.473,71248,3749.8948,1245165,65535,19,25,336,1620,2921,-1,1
1108,1.9595817,367024,19317.053,55216,2906.1052,1245165,65535,19,25,335.5,1782.5,2925,-1,1
1109,1.3943,956736,30862.451,100160,3230.9678,2031585,65535,31,25,343.5,1779.5,2925,-1,1
1110,1.6870633,2024063,9200.2861,724064,3291.2,14417700,65535,220,25,339.5,1086,2927,-1,1
1111,1.7059198,738592,6478.877,338672,2970.8071,7470990,65535,114,25,352.5,1072.5,2927,-1,1
1112,1.3615891,3541181,24089.666,605568,4119.5103,9633645,65535,147,25,364,1094.5,2927,-1,1
1113,1.2983027,734320,24477.334,105040,3501.3333,1966050,65535,30,25,355.5,1343,2929,-1,0
